name,id,year,director,top,rating,num_of_rates
Побег из Шоушенка,tt0111161,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1,9.2,1872211
Крёстный отец,tt0068646,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",2,9.2,1278172
Крёстный отец 2,tt0071562,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",3,9.0,881369
Тёмный рыцарь,tt0468569,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",4,9.0,1848860
12 рaзгневанных мужчин,tt0050083,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",5,8.9,512465
Список Шиндлера,tt0108052,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",6,8.9,962038
Криминальное чтиво,tt0110912,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",7,8.9,1464924
Властелин колец: Возвращение короля,tt0167260,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8,8.9,1338806
"Хороший, плохой, злой",tt0060196,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",9,8.8,554894
Бойцовский клуб,tt0137523,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",10,8.8,1500692
Властелин колец: Братство кольца,tt0120737,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",11,8.8,1359143
Форрест Гамп,tt0109830,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",12,8.7,1411732
Звёздные войны. Эпизод 5: Империя наносит ответный удар,tt0080684,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",13,8.7,934292
Начало,tt1375666,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",14,8.7,1638576
Властелин колец: Две крепости,tt0167261,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",15,8.7,1212088
One Flew Over the Cuckoo's Nest,tt0073486,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",16,8.7,747871
Славные парни,tt0099685,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",17,8.7,807039
Матрица,tt0133093,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",18,8.7,1347195
Семь самураев,tt0047478,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",19,8.6,252450
Звёздные войны. Эпизод 4: Новая надежда,tt0076759,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",20,8.6,1006704
Город Бога,tt0317248,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Matheus Nachtergaele",21,8.6,583257
Семь,tt0114369,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",22,8.6,1141770
Молчание ягнят,tt0102926,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",23,8.6,996587
Эта замечательная жизнь,tt0038650,1946,"Frank Capra (dir.), James Stewart, Donna Reed",24,8.6,309105
Жизнь прекрасна,tt0118799,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",25,8.6,479499
Подозрительные лица,tt0114814,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",26,8.6,818875
Леон,tt0110413,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",27,8.5,811682
Спасти рядового Райана,tt0120815,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",28,8.5,984896
Унесённые призраками,tt0245429,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",29,8.5,480012
Американская история Икс,tt0120586,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",30,8.5,862192
Однажды на Диком Западе,tt0064116,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",31,8.5,240648
Интерстеллар,tt0816692,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",32,8.5,1105262
Зелёная миля,tt0120689,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",33,8.5,885883
Психо,tt0054215,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",34,8.5,472296
Касабланка,tt0034583,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",35,8.5,426197
Огни большого города,tt0021749,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",36,8.5,124278
1+1,tt1675434,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",37,8.5,583975
Modern Times,tt0027977,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",38,8.5,163370
Индиана Джонс: В поисках утраченного ковчега,tt0082971,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",39,8.5,727338
Пианист,tt0253474,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",40,8.5,562146
Отступники,tt0407887,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",41,8.5,967503
Окно во двор,tt0047396,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",42,8.5,352154
Терминатор 2: Судный день,tt0103064,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",43,8.5,817941
Назад в будущее,tt0088763,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",44,8.5,821767
Одержимость,tt2582802,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",45,8.5,509131
Гладиатор,tt0172495,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",46,8.5,1086924
Престиж,tt0482571,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",47,8.5,949808
Король Лев,tt0110357,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",48,8.5,727992
Помни,tt0209144,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",49,8.5,934537
Апокалипсис сегодня,tt0078788,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",50,8.5,493989
Чужой,tt0078748,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",51,8.4,637576
Великий диктатор,tt0032553,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",52,8.4,156216
Sunset Blvd.,tt0043014,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",53,8.4,155960
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",tt0057012,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",54,8.4,376174
Nuovo Cinema Paradiso,tt0095765,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",55,8.4,172833
Жизнь других,tt0405094,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",56,8.4,287497
Могила светлячков,tt0095327,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",57,8.4,162346
